Слово,Сумма_слов,Нормализованная_частотность
простор,26,52.47769698
прошлый,49,52.47769698
ребята,246,52.47769698
сила,87,52.47769698
солнце,288,52.47769698
стена,98,52.47769698
театральный,15,52.47769698
участвовать,63,52.47769698
храм,59,52.47769698
аппликация,35,44.98088312
артист,13,44.98088312
белила,6,44.98088312
близкий,69,44.98088312
больший,306,44.98088312
видный,35,44.98088312
волшебный,44,44.98088312
главный,311,44.98088312
графический,41,44.98088312
женщина,36,44.98088312
жостовский,6,44.98088312
зелёный,219,44.98088312
змея,57,44.98088312
знак,369,44.98088312
игра,117,44.98088312
исторический,28,44.98088312
карнавальный,8,44.98088312
князь,51,44.98088312
конь,47,44.98088312
коробка,152,44.98088312
край,181,44.98088312
крестьянский,8,44.98088312
крупный,110,44.98088312
металлический,25,44.98088312
многий,106,44.98088312
найти,1503,44.98088312
наметить,13,44.98088312
новогодний,36,44.98088312
окно,142,44.98088312
орнаментальный,6,44.98088312
постараться,47,44.98088312
придавать,30,44.98088312
прийти,106,44.98088312
приходить,46,44.98088312
рассказ,206,44.98088312
родина,91,44.98088312
снег,253,44.98088312
становиться,102,44.98088312
старина,26,44.98088312
стать,438,44.98088312
стол,154,44.98088312
схема,201,44.98088312
транспорт,30,44.98088312
труд,112,44.98088312
удивительный,60,44.98088312
уметь,111,44.98088312
фигурка,21,44.98088312
цветочный,30,44.98088312
часть,1240,44.98088312
широкий,60,44.98088312
ажурный,10,37.48406927
битва,26,37.48406927
богородский,6,37.48406927
буква,712,37.48406927
весна,228,37.48406927
ветер,225,37.48406927
воин,35,37.48406927
высота,107,37.48406927
выявить,11,37.48406927
главное,60,37.48406927
глина,65,37.48406927
голова,89,37.48406927
головка,23,37.48406927
давний,20,37.48406927
декоративный,23,37.48406927
детский,83,37.48406927
дивный,10,37.48406927
зал,44,37.48406927
запомниться,13,37.48406927
зодчество,7,37.48406927
изящный,6,37.48406927
крепость,33,37.48406927
кусочек,61,37.48406927
любовь,31,37.48406927
мечта,11,37.48406927
наблюдение,104,37.48406927
наряд,16,37.48406927
настоящий,120,37.48406927
натура,9,37.48406927
начинаться,90,37.48406927
ноябрь,20,37.48406927
объём,52,37.48406927
ограда,5,37.48406927
окружать,29,37.48406927
определить,545,37.48406927
отразиться,7,37.48406927
пастель,5,37.48406927
печатать,14,37.48406927
письмо,199,37.48406927
плоский,31,37.48406927
площадь,380,37.48406927
повторить,32,37.48406927
подобрать,203,37.48406927
пространство,28,37.48406927
птичка,35,37.48406927
радостный,37,37.48406927
расположить,56,37.48406927
салют,14,37.48406927
синий,111,37.48406927
складываться,20,37.48406927
сочинить,19,37.48406927
средство,40,37.48406927
сторона,434,37.48406927
стремиться,35,37.48406927
строить,113,37.48406927
сюжетный,6,37.48406927
текст,1292,37.48406927
теневой,5,37.48406927
уголок,29,37.48406927
учебник,173,37.48406927
чудо,42,37.48406927
архитектурный,9,29.98725542
башня,42,29.98725542
бликовка,4,29.98725542
важный,104,29.98725542
век,193,29.98725542
верхний,80,29.98725542
взрослый,129,29.98725542
взять,160,29.98725542
включить,25,29.98725542
встречаться,87,29.98725542
высокий,163,29.98725542
гжель,4,29.98725542
гжельский,4,29.98725542
глиняный,18,29.98725542
городской,33,29.98725542
далёкий,63,29.98725542
дорогой,27,29.98725542
доска,73,29.98725542
живописец,7,29.98725542
живописный,7,29.98725542
забыть,78,29.98725542
замечательный,48,29.98725542
занятие,45,29.98725542
камень,73,29.98725542
кольцо,61,29.98725542
конструкция,35,29.98725542
контраст,8,29.98725542
красный,262,29.98725542
купол,10,29.98725542
летний,62,29.98725542
лоскуток,8,29.98725542
луч,175,29.98725542
любоваться,31,29.98725542
матрёшка,6,29.98725542
множество,603,29.98725542
морской,76,29.98725542
москва,135,29.98725542
научиться,117,29.98725542
находиться,201,29.98725542
начало,180,29.98725542
начинать,85,29.98725542
необыкновенный,14,29.98725542
необычный,26,29.98725542
нить,70,29.98725542
облик,12,29.98725542
общий,232,29.98725542
овощ,56,29.98725542
осенний,59,29.98725542
основный,75,29.98725542
особенность,87,29.98725542
особенный,14,29.98725542
отдыхать,35,29.98725542
очертание,6,29.98725542
петрушка,9,29.98725542
пластилин,39,29.98725542
плотный,44,29.98725542
побывать,43,29.98725542
подарок,77,29.98725542
подготовить,65,29.98725542
познакомиться,86,29.98725542
поколение,29,29.98725542
пользоваться,123,29.98725542
понимать,80,29.98725542
последовательность,27,29.98725542
пословица,69,29.98725542
почувствовать,23,29.98725542
поэт,55,29.98725542
прекрасный,70,29.98725542
природный,257,29.98725542
прокладка,7,29.98725542
прорисовать,4,29.98725542
прочный,28,29.98725542
пышный,11,29.98725542
радовать,20,29.98725542
раз,694,29.98725542
различие,60,29.98725542
различный,154,29.98725542
располагаться,38,29.98725542
расположение,35,29.98725542
рассказывать,76,29.98725542
рассматривать,14,29.98725542
река,398,29.98725542
самовар,5,29.98725542
северорусский,4,29.98725542
семейный,23,29.98725542
