Слово,Сумма_слов,Нормализованная_частотность
цвет,357,1562.969642
художник,129,1412.6841
бумага,323,871.6561467
быть,1732,841.5990382
мочь,791,841.5990382
краска,81,811.5419297
мастер,79,721.3706041
украшение,70,691.3134956
изображение,78,631.1992786
линия,213,571.0850616
похожий,191,571.0850616
природа,276,571.0850616
разный,530,541.0279531
белый,297,510.9708446
настроение,43,510.9708446
лист,373,480.9137361
получиться,386,480.9137361
постройка,19,480.9137361
ритм,45,480.9137361
форма,332,480.9137361
чёрный,151,480.9137361
образ,72,450.8566276
рисовать,55,450.8566276
пластилин,67,420.7995191
серый,52,420.7995191
картина,144,390.7424106
посмотреть,109,390.7424106
сделать,570,390.7424106
человек,974,390.7424106
нежный,25,360.6853021
птица,301,360.6853021
друг,573,330.6281936
пятно,21,330.6281936
характер,37,330.6281936
вода,693,300.5710851
рисунок,790,300.5710851
видеть,166,270.5139766
дерево,340,270.5139766
животное,436,270.5139766
жёлтый,139,270.5139766
зелёный,242,270.5139766
мелок,12,270.5139766
создать,68,270.5139766
тёплый,110,270.5139766
холодный,90,270.5139766
изобразить,57,240.456868
использовать,497,240.456868
камень,130,240.456868
красивый,95,240.456868
небо,190,240.456868
синий,176,240.456868
тёмный,53,240.456868
увидеть,180,240.456868
флот,10,240.456868
весёлый,68,210.3997595
добрый,85,210.3997595
зверь,72,210.3997595
попробовать,135,210.3997595
рыбка,59,210.3997595
создавать,68,210.3997595
тихий,41,210.3997595
цветной,85,210.3997595
яркий,60,210.3997595
движение,93,180.342651
злой,15,180.342651
кисть,16,180.342651
клей,46,180.342651
лепить,22,180.342651
передать,42,180.342651
произведение,122,180.342651
работать,94,180.342651
солнечный,104,180.342651
стать,308,180.342651
сторона,421,180.342651
тушь,7,180.342651
узор,55,180.342651
цветовой,13,180.342651
цветок,157,180.342651
водоросль,23,150.2855425
волшебный,39,150.2855425
вырезать,113,150.2855425
главный,214,150.2855425
говорить,206,150.2855425
голубой,88,150.2855425
делать,272,150.2855425
домик,36,150.2855425
искусство,52,150.2855425
казаться,56,150.2855425
красный,322,150.2855425
мир,189,150.2855425
море,208,150.2855425
оттенок,19,150.2855425
получаться,52,150.2855425
придумать,173,150.2855425
сгиб,33,150.2855425
сказочный,22,150.2855425
спокойный,11,150.2855425
аппликация,54,120.228434
бывать,197,120.228434
ветер,168,120.228434
взять,187,120.228434
выразительный,10,120.228434
вытянутый,6,120.228434
глаз,127,120.228434
глина,28,120.228434
гуашь,7,120.228434
дом,317,120.228434
драгоценный,17,120.228434
земля,771,120.228434
знать,341,120.228434
коричневый,28,120.228434
красота,46,120.228434
кусок,57,120.228434
кусочек,57,120.228434
лес,351,120.228434
медуза,8,120.228434
надрезать,5,120.228434
нажимать,9,120.228434
напоминать,45,120.228434
нарисовать,153,120.228434
научиться,135,120.228434
одинаковый,284,120.228434
осенний,82,120.228434
пастель,4,120.228434
передавать,52,120.228434
подчёркивать,27,120.228434
полоска,57,120.228434
помнить,74,120.228434
рассмотреть,375,120.228434
свет,180,120.228434
скульптура,13,120.228434
сложить,90,120.228434
сочетание,133,120.228434
фиолетовый,20,120.228434
царь,17,120.228434
больший,217,90.17132552
вдохновлять,5,90.17132552
город,218,90.17132552
грустный,31,90.17132552
день,718,90.17132552
добавить,47,90.17132552
есть,607,90.17132552
жить,322,90.17132552
здание,25,90.17132552
изображать,31,90.17132552
изящный,4,90.17132552
иметь,241,90.17132552
интересный,63,90.17132552
клапан,3,90.17132552
кокошник,3,90.17132552
композиция,56,90.17132552
конструировать,5,90.17132552
любить,117,90.17132552
мазок,13,90.17132552
маленький,235,90.17132552
материал,187,90.17132552
