Слово,Сумма_слов,Нормализованная_частотность
человек,1788,4134.307903
быть,4078,3289.173138
образ,207,2581.087254
работа,973,2215.623572
творческий,155,2169.940612
художник,228,2147.099132
мир,582,2124.257652
тетрадь,446,2101.416172
город,1157,2078.574692
цвет,384,2055.733212
природа,543,1987.208771
искусство,144,1918.684331
изображение,243,1804.47693
дерево,658,1735.95249
картина,250,1576.062129
красота,155,1576.062129
храм,143,1576.062129
народный,193,1553.220649
жизнь,568,1507.537688
мастер,203,1484.696208
разный,723,1484.696208
композиция,112,1416.171768
время,1793,1393.330288
народ,276,1347.647328
произведение,602,1324.805847
древний,411,1279.122887
земля,913,1279.122887
пейзаж,71,1279.122887
русский,623,1233.439927
выполнить,1143,1187.756967
дом,585,1164.915487
рисунок,1015,1119.232526
изба,80,1073.549566
линия,229,1027.866606
стена,196,982.1836455
рассмотреть,546,936.5006852
урок,334,936.5006852
краска,175,913.6592051
задание,589,890.817725
праздник,172,890.817725
роспись,51,890.817725
декоративный,67,867.9762449
начало,396,867.9762449
мочь,1236,822.2932846
главный,379,799.4518045
год,1556,799.4518045
есть,786,776.6103243
предмет,323,776.6103243
украшение,135,776.6103243
постройка,75,753.7688442
приём,101,753.7688442
фигура,499,753.7688442
герой,135,730.9273641
птица,364,730.9273641
движение,356,708.085884
бумага,355,685.2444038
назвать,522,685.2444038
родный,146,685.2444038
высокий,209,662.4029237
место,564,662.4029237
небо,294,662.4029237
орнамент,45,662.4029237
рассказать,406,662.4029237
сила,133,662.4029237
стать,674,662.4029237
часть,1613,662.4029237
юрта,32,662.4029237
белый,354,639.5614436
видеть,203,639.5614436
здание,99,639.5614436
зимний,132,639.5614436
конь,85,639.5614436
одежда,178,639.5614436
собор,69,639.5614436
узор,86,639.5614436
великий,249,616.7199635
внимание,252,616.7199635
вода,858,616.7199635
делать,424,616.7199635
иметь,610,616.7199635
лист,439,616.7199635
материал,343,616.7199635
день,1308,593.8784833
портрет,54,593.8784833
форма,1151,593.8784833
цветовой,31,593.8784833
друг,1134,571.0370032
лицо,393,571.0370032
